Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Calakmul (cmul), Campeche
Lat 18.5956 N, Lon 89.4137 W, Alt 275 masl
Time UTC-6h
FlAGS describe the method used to calculte null values from metdata: IP = interpolation  LR= linear regresion for Temp_avg using PMT640 mass monitor
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg
yyyy-mm-dd HH:MM:SS,°C,%,m/s,m/s.1,deg,deg.1,mm,hPa,W/m^2,Temp_flag,RH_flag,WSpeed_flag,WSpeed_max_flag,WDIR_flag,WDIR_avg_flag,Rain_Tot_flag,Rad_flag
2023-11-01 00:00:00,21.93,92.7,0.264,0.566,322.2,16.81,0.0,980.906,0.0,,,,,,,,
2023-11-01 00:01:00,21.94,92.8,1.428,1.982,306.2,12.55,0.0,980.91,-0.001,,,,,,,,
2023-11-01 00:02:00,21.91,92.8,0.784,0.933,318.4,23.59,0.0,980.933,-0.001,,,,,,,,
2023-11-01 00:03:00,21.89,92.9,2.091,2.849,325.1,20.39,0.0,980.927,-0.001,,,,,,,,
2023-11-01 00:04:00,21.89,92.9,1.486,2.298,320.7,16.85,0.0,980.936,-0.001,,,,,,,,
2023-11-01 00:05:00,21.89,92.9,0.978,1.35,311.5,14.58,0.0,980.937,-0.001,,,,,,,,
2023-11-01 00:06:00,21.89,93.0,0.972,1.2,322.3,37.73,0.0,980.937,-0.001,,,,,,,,
2023-11-01 00:07:00,21.89,93.0,1.244,1.583,334.2,15.56,0.0,980.935,-0.001,,,,,,,,
2023-11-01 00:08:00,21.89,93.0,1.233,1.533,326.5,21.18,0.0,980.928,-0.001,,,,,,,,
2023-11-01 00:09:00,21.89,93.0,1.302,2.183,338.1,11.5,0.0,980.914,-0.001,,,,,,,,
2023-11-01 00:10:00,21.86,93.1,1.496,2.117,332.8,8.83,0.0,980.895,-0.001,,,,,,,,
2023-11-01 00:11:00,21.84,93.1,1.814,2.2,333.4,14.85,0.0,980.862,-0.001,,,,,,,,
2023-11-01 00:12:00,21.84,93.2,1.36,1.95,319.0,23.19,0.0,980.843,-0.001,,,,,,,,
2023-11-01 00:13:00,21.84,93.3,1.964,2.582,318.6,12.58,0.0,980.83,-0.001,,,,,,,,
2023-11-01 00:14:00,21.84,93.4,1.074,1.683,355.5,21.72,0.0,980.824,-0.001,,,,,,,,
2023-11-01 00:15:00,21.84,93.3,1.564,2.298,343.1,14.99,0.0,980.811,-0.001,,,,,,,,
2023-11-01 00:16:00,21.8,93.3,1.647,2.565,331.0,14.32,0.0,980.81,-0.001,,,,,,,,
2023-11-01 00:17:00,21.8,93.4,1.069,1.7,347.9,36.11,0.0,980.809,-0.002,,,,,,,,
2023-11-01 00:18:00,21.8,93.4,1.513,2.266,335.0,24.01,0.0,980.79,-0.001,,,,,,,,
2023-11-01 00:19:00,21.8,93.5,0.814,1.25,353.3,23.64,0.0,980.767,-0.001,,,,,,,,
2023-11-01 00:20:00,21.8,93.6,0.867,1.132,344.6,18.95,0.0,980.77,-0.001,,,,,,,,
2023-11-01 00:21:00,21.77,93.6,1.154,1.45,340.4,15.98,0.0,980.772,-0.001,,,,,,,,
2023-11-01 00:22:00,21.75,93.7,0.95,1.166,349.5,12.22,0.0,980.781,-0.001,,,,,,,,
2023-11-01 00:23:00,21.75,93.8,1.193,1.499,355.7,20.05,0.0,980.788,-0.001,,,,,,,,
2023-11-01 00:24:00,21.75,93.8,1.472,2.283,348.1,21.39,0.0,980.79,-0.001,,,,,,,,
2023-11-01 00:25:00,21.75,93.8,1.705,2.166,350.0,25.27,0.0,980.78,0.0,,,,,,,,
2023-11-01 00:26:00,21.75,94.0,1.132,1.749,318.4,24.79,0.0,980.773,-0.001,,,,,,,,
2023-11-01 00:27:00,21.75,94.0,0.908,1.25,339.0,27.39,0.0,980.78,-0.001,,,,,,,,
2023-11-01 00:28:00,21.75,94.0,0.894,1.284,326.3,17.3,0.0,980.797,-0.001,,,,,,,,
2023-11-01 00:29:00,21.75,94.1,1.064,1.516,332.1,6.659,0.0,980.806,-0.001,,,,,,,,
2023-11-01 00:30:00,21.75,94.1,1.355,1.999,332.8,14.68,0.0,980.805,-0.001,,,,,,,,
2023-11-01 00:31:00,21.75,94.1,1.263,1.816,334.2,19.55,0.0,980.8,-0.001,,,,,,,,
2023-11-01 00:32:00,21.75,94.1,0.882,1.299,327.3,23.04,0.0,980.79,-0.001,,,,,,,,
2023-11-01 00:33:00,21.75,94.1,1.153,1.6,331.1,25.51,0.0,980.784,-0.001,,,,,,,,
2023-11-01 00:34:00,21.75,94.1,0.602,1.049,343.5,25.58,0.0,980.775,-0.001,,,,,,,,
2023-11-01 00:35:00,21.75,94.2,1.399,1.6,332.3,17.03,0.0,980.77,-0.001,,,,,,,,
2023-11-01 00:36:00,21.75,94.3,0.828,1.433,334.1,15.52,0.0,980.765,-0.001,,,,,,,,
2023-11-01 00:37:00,21.75,94.3,1.17,1.766,331.5,12.11,0.0,980.761,-0.001,,,,,,,,
2023-11-01 00:38:00,21.75,94.3,1.233,1.499,335.5,6.847,0.0,980.728,-0.001,,,,,,,,
2023-11-01 00:39:00,21.71,94.3,1.11,1.632,319.4,16.98,0.0,980.719,-0.001,,,,,,,,
2023-11-01 00:40:00,21.71,94.3,1.272,1.7,335.9,23.55,0.0,980.705,-0.001,,,,,,,,
2023-11-01 00:41:00,21.7,94.4,0.624,1.367,322.9,21.17,0.0,980.708,-0.001,,,,,,,,
2023-11-01 00:42:00,21.7,94.4,1.491,1.965,338.3,6.26,0.0,980.693,-0.001,,,,,,,,
2023-11-01 00:43:00,21.7,94.4,1.6,2.2,325.8,11.66,0.0,980.686,-0.001,,,,,,,,
2023-11-01 00:44:00,21.71,94.5,1.644,1.933,324.1,10.2,0.0,980.674,-0.001,,,,,,,,
2023-11-01 00:45:00,21.7,94.5,0.891,1.382,322.4,25.88,0.0,980.669,-0.001,,,,,,,,
2023-11-01 00:46:00,21.69,94.6,1.018,1.749,329.5,19.88,0.0,980.656,0.0,,,,,,,,
2023-11-01 00:47:00,21.66,94.5,0.983,1.166,309.5,16.17,0.0,980.648,-0.001,,,,,,,,
2023-11-01 00:48:00,21.66,94.5,0.775,0.95,316.3,17.31,0.0,980.643,0.0,,,,,,,,
2023-11-01 00:49:00,21.66,94.6,1.746,2.183,324.5,9.89,0.0,980.635,0.001,,,,,,,,
2023-11-01 00:50:00,21.66,94.6,1.375,1.6,312.2,12.19,0.0,980.65,0.0,,,,,,,,
2023-11-01 00:51:00,21.66,94.6,1.061,1.6,311.4,19.84,0.0,980.651,0.0,,,,,,,,
2023-11-01 00:52:00,21.66,94.6,1.136,1.799,306.7,15.38,0.0,980.664,0.0,,,,,,,,
2023-11-01 00:53:00,21.66,94.6,0.938,1.433,295.6,12.33,0.0,980.68,0.0,,,,,,,,
2023-11-01 00:54:00,21.66,94.6,0.882,1.284,304.9,17.4,0.0,980.69,0.0,,,,,,,,
2023-11-01 00:55:00,21.66,94.6,1.491,1.999,313.3,5.338,0.0,980.691,-0.001,,,,,,,,
2023-11-01 00:56:00,21.66,94.6,1.459,2.149,319.9,11.42,0.0,980.702,-0.001,,,,,,,,
2023-11-01 00:57:00,21.66,94.6,1.052,1.299,332.0,18.88,0.0,980.705,0.0,,,,,,,,
2023-11-01 00:58:00,21.66,94.6,0.969,1.35,351.1,21.8,0.0,980.7,0.0,,,,,,,,
2023-11-01 00:59:00,21.66,94.7,1.102,1.316,327.4,13.38,0.0,980.691,-0.001,,,,,,,,
2023-11-01 01:00:00,21.66,94.7,1.08,1.284,343.8,12.7,0.0,980.668,0.0,,,,,,,,
2023-11-01 01:01:00,21.66,94.7,1.382,1.666,331.7,13.66,0.0,980.657,-0.001,,,,,,,,
2023-11-01 01:02:00,21.66,94.7,1.503,1.882,345.5,16.82,0.0,980.637,-0.001,,,,,,,,
2023-11-01 01:03:00,21.66,94.8,0.933,1.482,354.9,23.44,0.0,980.617,-0.001,,,,,,,,
2023-11-01 01:04:00,21.66,94.8,0.955,1.299,346.6,15.8,0.0,980.597,0.0,,,,,,,,
2023-11-01 01:05:00,21.66,94.8,1.571,2.066,339.3,12.64,0.0,980.569,-0.001,,,,,,,,
2023-11-01 01:06:00,21.66,94.9,1.608,2.149,341.4,10.84,0.0,980.547,-0.001,,,,,,,,
2023-11-01 01:07:00,21.66,94.9,1.307,1.766,339.4,14.16,0.0,980.527,0.0,,,,,,,,
2023-11-01 01:08:00,21.66,94.9,0.852,1.465,343.9,18.06,0.0,980.517,-0.001,,,,,,,,
2023-11-01 01:09:00,21.66,94.9,1.158,1.566,337.5,10.96,0.0,980.516,0.0,,,,,,,,
2023-11-01 01:10:00,21.66,94.9,1.28,1.732,325.3,15.07,0.0,980.505,-0.001,,,,,,,,
2023-11-01 01:11:00,21.66,95.0,1.632,2.083,326.3,12.35,0.0,980.493,-0.001,,,,,,,,
2023-11-01 01:12:00,21.78,95.0,1.333,1.999,331.7,16.28,0.0,980.48,-0.001,,,,,,,,
2023-11-01 01:13:00,21.72,95.0,1.025,1.566,325.6,16.97,0.0,980.468,-0.001,,,,,,,,
2023-11-01 01:14:00,21.66,95.0,0.167,0.617,317.8,9.74,0.0,980.464,0.0,,,,,,,,
2023-11-01 01:15:00,21.66,95.1,1.28,1.549,346.7,19.4,0.0,980.454,0.0,,,,,,,,
2023-11-01 01:16:00,21.66,95.1,1.61,1.867,344.8,14.36,0.0,980.435,-0.001,,,,,,,,
2023-11-01 01:17:00,21.66,95.0,1.683,2.315,347.3,13.66,0.0,980.427,-0.001,,,,,,,,
2023-11-01 01:18:00,21.66,95.0,1.421,2.183,332.0,15.36,0.0,980.42,-0.001,,,,,,,,
2023-11-01 01:19:00,21.66,95.0,1.569,2.332,342.3,16.01,0.0,980.403,-0.001,,,,,,,,
2023-11-01 01:20:00,21.66,95.1,1.319,2.049,346.1,13.6,0.0,980.392,-0.001,,,,,,,,
2023-11-01 01:21:00,21.66,94.9,1.214,1.666,331.9,16.59,0.0,980.386,-0.001,,,,,,,,
2023-11-01 01:22:00,21.66,95.0,2.069,2.899,344.1,25.73,0.0,980.37,-0.001,,,,,,,,
2023-11-01 01:23:00,21.7,95.0,1.209,1.965,349.7,26.13,0.0,980.363,-0.001,,,,,,,,
2023-11-01 01:24:00,21.71,94.9,1.647,2.183,338.6,18.37,0.0,980.338,-0.001,,,,,,,,
2023-11-01 01:25:00,21.71,94.9,1.355,1.899,328.6,19.85,0.0,980.335,-0.001,,,,,,,,
2023-11-01 01:26:00,21.75,94.9,1.693,2.298,352.1,10.52,0.0,980.32,-0.001,,,,,,,,
2023-11-01 01:27:00,21.75,94.8,1.697,2.183,338.0,17.42,0.0,980.312,-0.001,,,,,,,,
2023-11-01 01:28:00,21.76,94.8,1.533,1.732,343.8,15.73,0.0,980.303,-0.001,,,,,,,,
2023-11-01 01:29:00,21.79,94.8,1.688,2.183,328.3,16.53,0.0,980.302,-0.001,,,,,,,,
2023-11-01 01:30:00,21.81,94.7,1.527,1.916,339.7,28.44,0.0,980.289,-0.001,,,,,,,,
2023-11-01 01:31:00,22.14,94.7,1.263,1.816,304.8,69.03,0.0,980.279,-0.001,,,,,,,,
2023-11-01 01:32:00,22.37,94.7,1.088,1.583,344.0,18.36,0.0,980.272,-0.001,,,,,,,,
2023-11-01 01:33:00,21.8,94.7,1.658,1.933,337.1,14.53,0.0,980.262,-0.001,,,,,,,,
2023-11-01 01:34:00,21.82,94.6,1.727,2.416,334.3,24.86,0.0,980.249,-0.001,,,,,,,,
2023-11-01 01:35:00,21.84,94.6,1.556,2.632,322.0,18.11,0.0,980.233,-0.001,,,,,,,,
2023-11-01 01:36:00,21.84,94.7,1.0,1.617,346.4,12.94,0.0,980.219,-0.001,,,,,,,,
2023-11-01 01:37:00,21.84,94.6,1.613,2.066,352.0,51.46,0.0,980.21,-0.001,,,,,,,,
2023-11-01 01:38:00,21.87,94.5,1.443,1.982,344.8,22.59,0.0,980.2,0.0,,,,,,,,
2023-11-01 01:39:00,21.89,94.5,1.574,2.399,352.9,14.42,0.0,980.183,-0.001,,,,,,,,
2023-11-01 01:40:00,21.89,94.5,0.495,1.049,338.7,28.0,0.0,980.187,0.0,,,,,,,,
2023-11-01 01:41:00,21.89,94.3,1.1,1.632,358.3,21.2,0.0,980.169,-0.001,,,,,,,,
2023-11-01 01:42:00,21.9,94.2,1.447,2.016,344.2,27.93,0.0,980.159,-0.001,,,,,,,,
2023-11-01 01:43:00,21.94,94.2,1.285,1.916,349.4,16.27,0.0,980.156,-0.001,,,,,,,,
2023-11-01 01:44:00,21.93,94.3,1.455,2.166,351.2,20.38,0.0,980.146,-0.001,,,,,,,,
2023-11-01 01:45:00,21.93,94.1,1.074,1.649,352.9,15.97,0.0,980.147,-0.001,,,,,,,,
2023-11-01 01:46:00,21.93,94.1,1.139,1.7,345.2,13.09,0.0,980.134,-0.001,,,,,,,,
2023-11-01 01:47:00,21.94,94.0,1.102,1.382,350.2,14.18,0.0,980.13,-0.001,,,,,,,,
2023-11-01 01:48:00,22.25,94.1,1.205,1.516,348.7,25.04,0.0,980.11,-0.001,,,,,,,,
2023-11-01 01:49:00,23.87731170051378,94.0,1.36,1.632,356.4,14.32,0.0,980.093,-0.001,LR,IP,,,,,,
2023-11-01 01:50:00,23.87731170051378,94.1,1.013,1.465,346.5,19.1,0.0,980.083,-0.001,LR,IP,,,,,,
2023-11-01 01:51:00,23.87731170051378,94.2,1.358,1.666,347.7,6.939,0.0,980.078,-0.001,LR,IP,,,,,,
2023-11-01 01:52:00,23.87731170051378,94.2,1.008,1.583,350.0,13.67,0.0,980.078,-0.001,LR,IP,,,,,,
2023-11-01 01:53:00,23.87731170051378,94.1,1.192,1.916,345.2,22.07,0.0,980.08,-0.001,LR,IP,,,,,,
2023-11-01 01:54:00,23.87731170051378,94.2,0.869,1.284,358.0,14.55,0.0,980.065,-0.001,LR,IP,,,,,,
2023-11-01 01:55:00,23.87731170051378,94.3,1.42,1.982,336.8,18.88,0.0,980.063,-0.001,LR,IP,,,,,,
2023-11-01 01:56:00,23.87731170051378,94.2,1.105,1.499,346.1,22.86,0.0,980.066,-0.001,LR,IP,,,,,,
2023-11-01 01:57:00,23.87731170051378,94.4,0.938,1.35,341.9,10.39,0.0,980.064,-0.001,LR,IP,,,,,,
2023-11-01 01:58:00,23.87731170051378,94.3,0.969,1.399,342.8,20.86,0.0,980.059,-0.001,LR,IP,,,,,,
2023-11-01 01:59:00,23.87731170051378,94.4,1.052,1.867,340.7,16.28,0.0,980.043,-0.001,LR,IP,,,,,,
2023-11-01 02:00:00,23.87731170051378,94.4,1.238,1.583,337.6,21.58,0.0,980.034,-0.001,LR,IP,,,,,,
2023-11-01 02:01:00,23.87731170051378,94.4,1.678,2.132,356.6,6.964,0.0,980.033,-0.001,LR,IP,,,,,,
2023-11-01 02:02:00,23.87731170051378,94.5,1.389,1.732,349.2,14.09,0.0,980.022,0.0,LR,IP,,,,,,
2023-11-01 02:03:00,23.87731170051378,94.5,0.93,1.499,350.9,23.93,0.0,980.013,-0.001,LR,IP,,,,,,
2023-11-01 02:04:00,23.87731170051378,94.6,1.319,1.666,350.5,11.59,0.0,980.012,0.0,LR,IP,,,,,,
2023-11-01 02:05:00,23.87731170051378,94.7,1.114,1.216,344.7,8.53,0.0,980.015,-0.001,LR,IP,,,,,,
2023-11-01 02:06:00,23.87731170051378,94.7,1.161,2.132,354.9,23.47,0.0,980.002,-0.001,LR,IP,,,,,,
2023-11-01 02:07:00,23.87731170051378,94.8,0.92,1.482,1.006,13.25,0.0,980.005,-0.001,LR,IP,,,,,,
2023-11-01 02:08:00,23.87731170051378,94.9,0.925,1.399,343.2,17.55,0.0,980.007,-0.001,LR,IP,,,,,,
2023-11-01 02:09:00,23.87731170051378,94.9,1.36,1.566,348.5,24.07,0.0,980.022,-0.001,LR,IP,,,,,,
2023-11-01 02:10:00,23.87731170051378,95.0,1.583,2.083,345.3,9.23,0.0,980.032,-0.001,LR,IP,,,,,,
2023-11-01 02:11:00,23.87731170051378,95.1,1.066,1.299,359.2,6.452,0.0,980.041,-0.001,LR,IP,,,,,,
2023-11-01 02:12:00,23.87731170051378,95.1,1.071,1.499,2.194,14.3,0.0,980.053,-0.001,LR,IP,,,,,,
2023-11-01 02:13:00,23.87731170051378,95.2,1.838,2.249,354.4,20.61,0.0,980.048,-0.001,LR,IP,,,,,,
2023-11-01 02:14:00,23.87731170051378,95.2,1.63,2.283,353.5,6.574,0.0,980.04,-0.001,LR,IP,,,,,,
2023-11-01 02:15:00,23.87731170051378,95.2,1.246,1.549,350.2,10.15,0.0,980.034,-0.001,LR,IP,,,,,,
2023-11-01 02:16:00,23.87731170051378,95.3,1.1,1.516,358.3,25.08,0.0,980.01,-0.001,LR,IP,,,,,,
2023-11-01 02:17:00,23.87731170051378,95.2,1.46,1.783,342.6,15.03,0.0,979.994,-0.001,LR,IP,,,,,,
2023-11-01 02:18:00,23.87731170051378,95.1,1.807,2.283,354.9,3.877,0.0,979.973,-0.001,LR,IP,,,,,,
2023-11-01 02:19:00,23.87731170051378,95.0,1.61,2.266,0.284,6.305,0.0,979.963,-0.001,LR,IP,,,,,,
2023-11-01 02:20:00,23.87731170051378,95.0,1.297,1.465,357.9,12.58,0.0,979.949,-0.001,LR,IP,,,,,,
2023-11-01 02:21:00,23.87731170051378,95.0,1.785,2.066,351.8,6.871,0.0,979.943,-0.001,LR,IP,,,,,,
2023-11-01 02:22:00,23.87731170051378,95.1,1.644,1.899,6.418,28.71,0.0,979.938,-0.001,LR,IP,,,,,,
2023-11-01 02:23:00,23.87731170051378,95.1,1.069,1.799,5.126,18.41,0.0,979.95,0.0,LR,IP,,,,,,
2023-11-01 02:24:00,23.87731170051378,95.1,1.61,2.516,358.0,18.01,0.0,979.956,-0.001,LR,IP,,,,,,
2023-11-01 02:25:00,23.87731170051378,95.2,1.595,2.366,359.1,17.11,0.0,979.964,-0.001,LR,IP,,,,,,
2023-11-01 02:26:00,23.87731170051378,95.4,1.46,1.982,358.8,25.02,0.0,979.961,-0.001,LR,IP,,,,,,
2023-11-01 02:27:00,23.87731170051378,95.2,1.421,2.399,351.6,30.03,0.0,979.968,-0.001,LR,IP,,,,,,
2023-11-01 02:28:00,23.87731170051378,95.2,1.277,1.766,353.5,14.08,0.0,979.986,-0.001,LR,IP,,,,,,
2023-11-01 02:29:00,23.87731170051378,95.1,1.127,1.649,1.959,16.77,0.0,980.011,-0.001,LR,IP,,,,,,
2023-11-01 02:30:00,23.87731170051378,95.1,1.345,1.583,9.85,16.64,0.0,980.03,-0.001,LR,IP,,,,,,
2023-11-01 02:31:00,23.87731170051378,95.0,1.238,1.583,331.2,21.73,0.0,980.037,-0.001,LR,IP,,,,,,
2023-11-01 02:32:00,23.87731170051378,95.0,2.178,2.548,352.7,17.08,0.0,980.029,-0.001,LR,IP,,,,,,
2023-11-01 02:33:00,23.87731170051378,95.0,1.868,2.45,348.3,14.93,0.0,980.032,-0.001,LR,IP,,,,,,
2023-11-01 02:34:00,23.87731170051378,95.1,1.591,2.732,336.8,20.4,0.0,980.019,-0.001,LR,IP,,,,,,
2023-11-01 02:35:00,23.87731170051378,95.1,1.872,2.899,352.9,24.49,0.0,980.01,0.0,LR,IP,,,,,,
2023-11-01 02:36:00,23.87731170051378,95.1,1.987,2.982,345.1,28.77,0.0,980.017,0.0,LR,IP,,,,,,
2023-11-01 02:37:00,23.87731170051378,95.1,1.36,1.916,9.44,24.49,0.0,980.026,-0.001,LR,IP,,,,,,
2023-11-01 02:38:00,23.87731170051378,95.2,1.008,1.899,5.728,24.75,0.0,980.039,-0.001,LR,IP,,,,,,
2023-11-01 02:39:00,23.87731170051378,95.2,1.977,2.632,7.369,9.67,0.0,980.054,-0.001,LR,IP,,,,,,
2023-11-01 02:40:00,23.87731170051378,95.3,2.06,2.599,357.4,9.56,0.0,980.059,-0.001,LR,IP,,,,,,
2023-11-01 02:41:00,22.84,95.4,2.049,2.298,358.4,21.24,0.0,980.078,-0.001,,,,,,,,
2023-11-01 02:42:00,23.87731170051378,95.3,1.6,2.632,356.6,18.38,0.0,980.066,0.0,LR,IP,,,,,,
2023-11-01 02:43:00,23.87731170051378,95.3,1.6,2.016,355.1,15.08,0.0,980.06,-0.001,LR,IP,,,,,,
2023-11-01 02:44:00,23.87731170051378,95.4,1.197,1.882,10.21,24.82,0.0,980.052,-0.001,LR,IP,,,,,,
2023-11-01 02:45:00,23.87731170051378,95.4,2.412,2.815,15.76,20.4,0.0,980.027,-0.001,LR,IP,,,,,,
2023-11-01 02:46:00,23.87731170051378,95.4,1.863,3.048,359.7,22.43,0.0,980.01,-0.001,LR,IP,,,,,,
2023-11-01 02:47:00,23.87731170051378,95.4,2.101,2.465,4.057,19.11,0.0,980.001,0.0,LR,IP,,,,,,
2023-11-01 02:48:00,23.87731170051378,95.5,2.118,2.95,24.81,13.88,0.0,979.972,0.0,LR,IP,,,,,,
2023-11-01 02:49:00,23.87731170051378,95.5,2.662,3.349,9.75,13.9,0.0,979.947,0.0,LR,IP,,,,,,
2023-11-01 02:50:00,23.87731170051378,95.5,1.88,2.866,357.6,13.73,0.0,979.941,0.0,LR,IP,,,,,,
2023-11-01 02:51:00,23.87731170051378,95.4,1.877,2.533,9.97,16.44,0.0,979.933,0.0,LR,IP,,,,,,
2023-11-01 02:52:00,23.87731170051378,95.5,2.018,2.849,5.763,22.85,0.0,979.928,-0.001,LR,IP,,,,,,
2023-11-01 02:53:00,22.6,95.5,1.595,2.399,1.532,17.81,0.0,979.945,-0.001,,,,,,,,
2023-11-01 02:54:00,22.74,95.5,1.632,2.1,29.97,18.97,0.0,979.96,-0.001,,,,,,,,
2023-11-01 02:55:00,23.87731170051378,95.5,1.074,1.715,9.48,10.94,0.0,979.982,-0.001,LR,IP,,,,,,
2023-11-01 02:56:00,23.87731170051378,95.5,1.358,1.715,19.14,16.45,0.0,980.001,-0.001,LR,IP,,,,,,
2023-11-01 02:57:00,23.87731170051378,95.4,1.224,1.965,13.8,14.94,0.0,980.012,-0.001,LR,IP,,,,,,
2023-11-01 02:58:00,23.87731170051378,95.4,1.916,2.399,12.76,17.55,0.0,979.998,-0.001,LR,IP,,,,,,
2023-11-01 02:59:00,23.87731170051378,95.4,1.693,2.416,21.8,11.46,0.0,979.987,-0.001,LR,IP,,,,,,
2023-11-01 03:00:00,23.87731170051378,95.5,1.012,1.933,50.86,37.23,0.0,979.968,-0.001,LR,IP,,,,,,
2023-11-01 03:01:00,23.87731170051378,95.5,1.363,1.715,20.45,17.6,0.0,979.964,-0.001,LR,IP,,,,,,
2023-11-01 03:02:00,23.87731170051378,95.5,1.102,1.867,13.82,13.47,0.0,979.948,0.0,LR,IP,,,,,,
2023-11-01 03:03:00,23.87731170051378,95.5,0.876,1.566,20.88,15.82,0.0,979.924,0.0,LR,IP,,,,,,
2023-11-01 03:04:00,23.87731170051378,95.6,1.114,1.516,14.41,12.09,0.0,979.898,0.0,LR,IP,,,,,,
2023-11-01 03:05:00,23.87731170051378,95.6,1.952,2.283,22.28,24.94,0.0,979.867,-0.001,LR,IP,,,,,,
2023-11-01 03:06:00,23.87731170051378,95.7,1.336,1.516,15.56,31.71,0.0,979.856,-0.001,LR,IP,,,,,,
2023-11-01 03:07:00,23.87731170051378,95.7,1.095,1.749,30.54,17.31,0.0,979.832,0.0,LR,IP,,,,,,
2023-11-01 03:08:00,23.87731170051378,95.8,1.064,1.533,8.1,18.62,0.0,979.822,0.0,LR,IP,,,,,,
2023-11-01 03:09:00,23.87731170051378,95.9,1.736,2.832,11.99,13.24,0.0,979.822,-0.001,LR,IP,,,,,,
2023-11-01 03:10:00,23.87731170051378,95.9,1.433,2.033,11.87,29.6,0.0,979.848,-0.001,LR,IP,,,,,,
2023-11-01 03:11:00,23.87731170051378,96.0,1.472,1.95,21.79,13.53,0.0,979.86,0.0,LR,IP,,,,,,
2023-11-01 03:12:00,23.87731170051378,96.1,1.428,1.899,23.79,20.21,0.0,979.892,0.0,LR,IP,,,,,,
2023-11-01 03:13:00,23.87731170051378,96.2,1.45,1.867,21.23,17.72,0.0,979.909,0.0,LR,IP,,,,,,
2023-11-01 03:14:00,23.87731170051378,96.3,0.933,2.166,30.22,18.76,0.0,979.932,-0.001,LR,IP,,,,,,
2023-11-01 03:15:00,23.87731170051378,96.3,1.346,2.7,3.87,12.08,0.0,979.94,-0.001,LR,IP,,,,,,
2023-11-01 03:16:00,23.87731170051378,96.4,1.819,2.016,0.953,8.73,0.0,979.948,-0.001,LR,IP,,,,,,
2023-11-01 03:17:00,23.87731170051378,96.4,0.802,1.132,20.64,16.97,0.0,979.95,0.0,LR,IP,,,,,,
2023-11-01 03:18:00,23.87731170051378,96.5,1.345,2.366,26.21,27.09,0.0,979.949,0.0,LR,IP,,,,,,
2023-11-01 03:19:00,23.87731170051378,96.5,1.663,2.332,3.067,14.01,0.0,979.945,0.0,LR,IP,,,,,,
2023-11-01 03:20:00,23.87731170051378,96.5,1.566,2.049,354.8,22.1,0.0,979.952,0.0,LR,IP,,,,,,
2023-11-01 03:21:00,23.87731170051378,96.5,1.386,1.95,17.64,13.37,0.0,979.934,0.0,LR,IP,,,,,,
2023-11-01 03:22:00,23.87731170051378,96.5,0.814,1.367,20.6,19.74,0.0,979.931,-0.001,LR,IP,,,,,,
2023-11-01 03:23:00,23.87731170051378,96.5,1.008,1.6,20.72,33.25,0.0,979.921,-0.001,LR,IP,,,,,,
2023-11-01 03:24:00,23.87731170051378,96.5,0.947,1.216,19.19,22.64,0.0,979.915,-0.001,LR,IP,,,,,,
2023-11-01 03:25:00,23.87731170051378,96.5,1.947,3.415,15.96,21.35,0.0,979.911,-0.001,LR,IP,,,,,,
2023-11-01 03:26:00,23.87731170051378,96.6,2.196,2.783,22.51,13.1,0.0,979.898,-0.001,LR,IP,,,,,,
2023-11-01 03:27:00,23.87731170051378,96.7,2.016,2.649,24.57,12.87,0.0,979.881,-0.001,LR,IP,,,,,,
2023-11-01 03:28:00,23.87731170051378,96.7,1.851,2.482,16.26,15.86,0.0,979.874,-0.001,LR,IP,,,,,,
2023-11-01 03:29:00,23.87731170051378,96.7,1.352,1.666,12.14,9.33,0.0,979.861,-0.001,LR,IP,,,,,,
2023-11-01 03:30:00,23.87731170051378,96.7,1.261,1.933,15.25,15.21,0.0,979.844,-0.001,LR,IP,,,,,,
2023-11-01 03:31:00,23.87731170051378,96.7,1.533,3.065,7.728,32.81,0.0,979.838,-0.001,LR,IP,,,,,,
2023-11-01 03:32:00,23.87731170051378,96.8,1.907,2.548,18.85,19.96,0.0,979.845,-0.001,LR,IP,,,,,,
2023-11-01 03:33:00,23.87731170051378,96.8,1.894,2.565,3.749,18.48,0.0,979.851,-0.001,LR,IP,,,,,,
2023-11-01 03:34:00,23.87731170051378,96.8,1.829,2.982,4.885,60.56,0.0,979.859,-0.001,LR,IP,,,,,,
2023-11-01 03:35:00,23.87731170051378,96.8,1.267,2.232,2.379,15.16,0.0,979.88,-0.001,LR,IP,,,,,,
2023-11-01 03:36:00,23.87731170051378,96.8,1.329,2.083,28.44,19.62,0.0,979.889,-0.001,LR,IP,,,,,,
2023-11-01 03:37:00,23.87731170051378,96.8,1.377,2.7,9.44,29.29,0.0,979.916,-0.001,LR,IP,,,,,,
2023-11-01 03:38:00,23.87731170051378,96.8,1.1,2.183,22.56,37.22,0.0,979.927,-0.001,LR,IP,,,,,,
2023-11-01 03:39:00,23.87731170051378,96.8,1.996,2.366,26.17,11.84,0.0,979.936,-0.001,LR,IP,,,,,,
2023-11-01 03:40:00,23.87731170051378,96.9,1.375,2.1,9.51,22.38,0.0,979.947,-0.001,LR,IP,,,,,,
